,carat,cut,cut_ord,color,clarity,clarity_ord,,
1,1.22,Premium,4,G,SI1,3,,6989.26
2,1.01,Good,2,G,VS2,5,,5814.33
3,0.71,Very Good,3,I,VS2,5,,3448.53
4,1.01,Ideal,5,D,SI2,2,,4926.63
5,0.27,Ideal,5,H,VVS2,6,,517.01
6,0.52,Premium,4,G,VS1,4,,1554.16
7,1.01,Premium,4,F,SI1,3,,5222.53
8,0.59,Ideal,5,D,SI1,3,,1847.17
9,1.01,Good,2,E,SI1,3,,4906.33
10,2.03,Ideal,5,F,SI2,2,,13507.89
11,1.35,Premium,4,H,VS2,5,,8990.95
12,0.74,Ideal,5,G,SI1,3,,3109.12
13,0.9,Premium,4,D,SI1,3,,4297.1
14,0.3,Good,2,G,VS2,5,,-158.9
15,1.01,Good,2,F,VS2,5,,5814.33
16,1.02,Good,2,H,SI2,2,,4536.46
17,2.05,Premium,4,G,SI1,3,,13972.05
18,0.54,Ideal,5,I,SI1,3,,1426.52
19,0.72,Ideal,5,G,VS2,5,,3848.86
20,2,Premium,4,J,SI2,2,,13097.4
21,1.57,Premium,4,G,SI2,2,,9479.81
22,0.89,Premium,4,G,SI1,3,,4212.97
23,0.33,Premium,4,I,VVS2,6,,863.69
24,0.3,Very Good,3,G,IF,8,,1361.2
25,1.79,Very Good,3,I,VS2,5,,12534.57
26,1.11,Ideal,5,E,SI2,2,,5767.93
27,0.79,Premium,4,F,SI1,3,,3371.67
28,0.71,Very Good,3,F,SI1,3,,2540.53
29,0.73,Ideal,5,G,SI1,3,,3024.99
30,0.9,Very Good,3,G,VS2,5,,5047
31,1.31,Good,2,I,VS1,4,,7884.23
32,1.01,Ideal,5,F,SI2,2,,4926.63
33,0.35,Premium,4,D,SI1,3,,-330.05
34,0.41,Premium,4,G,VS2,5,,1082.73
35,0.32,Premium,4,E,VS2,5,,325.56
36,0.38,Ideal,5,D,VS1,4,,534.44
37,1.21,Premium,4,I,SI2,2,,6451.13
38,1,Premium,4,F,SI1,3,,5138.4
39,0.56,Ideal,5,H,VS2,5,,2502.78
40,1,Good,2,J,SI1,3,,4822.2
41,0.32,Premium,4,H,VVS1,7,,1233.56
42,1.7,Ideal,5,D,SI1,3,,11185.6
43,2.26,Very Good,3,D,SI2,2,,15126.68
44,0.32,Premium,4,D,VS2,5,,325.56
45,0.4,Very Good,3,F,VVS1,7,,1748.5
46,2.13,Very Good,3,G,SI2,2,,14032.99
47,0.7,Premium,4,G,VS2,5,,3522.5
48,2.01,Premium,4,H,SI1,3,,13635.53
49,1.15,Premium,4,G,SI1,3,,6400.35
50,0.71,Ideal,5,E,VS1,4,,3310.73
51,1.35,Premium,4,G,VVS2,6,,9444.95
52,0.51,Ideal,5,F,SI1,3,,1174.13
53,0.34,Ideal,5,D,IF,8,,2013.92
54,1.58,Ideal,5,G,VS1,4,,10630.04
55,2.05,Good,2,G,SI2,2,,13201.85
56,0.41,Ideal,5,H,VS1,4,,786.83
57,0.6,Fair,1,F,SI1,3,,1298.9
58,0.31,Ideal,5,H,IF,8,,1761.53
59,0.64,Very Good,3,D,SI1,3,,1951.62
60,0.71,Premium,4,J,SI1,3,,2698.63
61,0.55,Ideal,5,F,VS2,5,,2418.65
62,1.26,Very Good,3,G,VVS2,6,,8529.68
63,1.03,Premium,4,G,VS1,4,,5844.79
64,1.01,Premium,4,H,SI2,2,,4768.53
65,0.25,Very Good,3,E,VVS2,6,,32.55
66,0.9,Premium,4,H,SI1,3,,4297.1
67,0.45,Premium,4,D,VS1,4,,965.25
68,0.3,Ideal,5,F,IF,8,,1677.4
69,0.9,Good,2,D,SI2,2,,3526.9
70,0.8,Very Good,3,F,VS2,5,,4205.7
71,0.33,Premium,4,G,VS1,4,,-44.31
72,0.71,Ideal,5,G,SI1,3,,2856.73
73,0.7,Premium,4,D,SI1,3,,2614.5
74,0.78,Ideal,5,H,SI2,2,,2991.64
75,0.7,Very Good,3,F,SI2,2,,2002.4
76,0.38,Ideal,5,F,VVS2,6,,1442.44
77,0.54,Premium,4,J,VS2,5,,2176.42
78,0.25,Good,2,E,VVS2,6,,-125.55
79,2.5,Good,2,J,VS2,5,,18349.7
80,0.72,Good,2,D,VS1,4,,2920.56
81,0.41,Ideal,5,E,VS2,5,,1240.83
82,2.03,Ideal,5,G,SI2,2,,13507.89
83,1.24,Premium,4,D,SI1,3,,7157.52
84,0.92,Premium,4,G,SI2,2,,4011.36
85,1,Fair,1,E,SI2,2,,4210.1
86,0.57,Ideal,5,F,VS1,4,,2132.91
87,0.54,Ideal,5,D,SI1,3,,1426.52
88,1.08,Premium,4,H,SI2,2,,5357.44
89,0.54,Very Good,3,H,VVS1,7,,2926.32
90,0.63,Very Good,3,F,VS2,5,,2775.49
91,1.58,Premium,4,D,SI1,3,,10017.94
92,0.3,Very Good,3,D,VS2,5,,-0.8
93,1.56,Ideal,5,G,VVS2,6,,11369.78
94,0.26,Very Good,3,F,VVS2,6,,116.68
95,0.57,Ideal,5,E,VS2,5,,2586.91
96,0.39,Ideal,5,F,IF,8,,2434.57
97,1.13,Very Good,3,G,SI2,2,,5619.99
98,1.09,Ideal,5,H,SI1,3,,6053.67
99,1.52,Ideal,5,E,SI2,2,,9217.26
100,1.01,Very Good,3,E,VS1,4,,5518.43
101,1.21,Premium,4,H,SI2,2,,6451.13
102,0.5,Ideal,5,H,SI1,3,,1090
103,1.33,Premium,4,E,SI2,2,,7460.69
104,0.52,Very Good,3,D,VS2,5,,1850.06
105,0.33,Ideal,5,H,SI2,2,,-794.21
106,1.06,Premium,4,G,SI2,2,,5189.18
107,0.9,Premium,4,F,SI2,2,,3843.1
108,0.92,Ideal,5,H,VS1,4,,5077.46
109,1.54,Premium,4,D,VS2,5,,10589.42
110,1,Premium,4,E,SI2,2,,4684.4
111,1.2,Ideal,5,G,VS1,4,,7433.1
112,1,Ideal,5,E,SI1,3,,5296.5
113,0.33,Very Good,3,E,SI1,3,,-656.41
114,0.38,Ideal,5,E,IF,8,,2350.44
115,0.55,Ideal,5,H,VVS2,6,,2872.65
116,0.31,Premium,4,J,VS2,5,,241.43
117,1.13,Ideal,5,D,VS1,4,,6844.19
118,0.33,Premium,4,D,SI1,3,,-498.31
119,1.03,Premium,4,E,VS2,5,,6298.79
120,0.53,Very Good,3,F,SI1,3,,1026.19
121,1,Good,2,F,I1,1,,3914.2
122,0.8,Very Good,3,F,VS1,4,,3751.7
123,1.25,Good,2,I,SI2,2,,6471.45
124,0.5,Very Good,3,E,SI1,3,,773.8
125,0.56,Ideal,5,D,VS2,5,,2502.78
126,0.46,Ideal,5,J,VS2,5,,1661.48
127,2.1,Premium,4,H,SI2,2,,13938.7
128,0.77,Ideal,5,D,SI1,3,,3361.51
129,0.53,Premium,4,H,VS2,5,,2092.29
130,0.75,Very Good,3,F,VS1,4,,3331.05
131,0.41,Premium,4,F,VVS2,6,,1536.73
132,0.41,Ideal,5,G,VVS1,7,,2148.83
133,0.51,Ideal,5,D,VS2,5,,2082.13
134,0.34,Premium,4,G,VS2,5,,493.82
135,0.51,Ideal,5,E,SI2,2,,720.13
136,0.3,Premium,4,H,SI1,3,,-750.7
137,1.5,Good,2,G,SI2,2,,8574.7
138,1.01,Very Good,3,F,SI2,2,,4610.43
139,1.1,Ideal,5,G,VS1,4,,6591.8
140,0.5,Good,2,D,SI1,3,,615.7
141,1,Good,2,E,VVS2,6,,6184.2
142,1.22,Ideal,5,J,VS1,4,,7601.36
143,1.51,Ideal,5,H,SI2,2,,9133.13
144,0.31,Ideal,5,E,VVS1,7,,1307.53
145,0.95,Premium,4,E,SI2,2,,4263.75
146,1.06,Very Good,3,I,SI2,2,,5031.08
147,1.39,Premium,4,E,VS2,5,,9327.47
148,1.01,Very Good,3,H,VS2,5,,5972.43
149,0.72,Premium,4,D,SI1,3,,2782.76
150,0.51,Premium,4,D,VS1,4,,1470.03
151,1.5,Very Good,3,D,SI2,2,,8732.8
152,0.7,Premium,4,G,VVS1,7,,4430.5
153,1.01,Premium,4,H,SI2,2,,4768.53
154,0.3,Ideal,5,I,SI1,3,,-592.6
155,1.29,Premium,4,F,SI1,3,,7578.17
156,1.01,Very Good,3,F,VS2,5,,5972.43
157,0.33,Ideal,5,I,VS2,5,,567.79
158,1.53,Premium,4,H,SI2,2,,9143.29
159,0.85,Premium,4,D,SI2,2,,3422.45
160,0.33,Ideal,5,G,VS2,5,,567.79
161,0.6,Ideal,5,D,VVS1,7,,3747.3
162,0.63,Premium,4,I,VS1,4,,2479.59
163,1.04,Premium,4,G,SI2,2,,5020.92
164,2.01,Very Good,3,H,SI2,2,,13023.43
165,0.71,Premium,4,E,SI1,3,,2698.63
166,0.3,Very Good,3,G,VVS2,6,,453.2
167,1.74,Ideal,5,J,VS1,4,,11976.12
168,1.06,Ideal,5,E,SI1,3,,5801.28
169,0.7,Fair,1,G,SI1,3,,2140.2
170,1.52,Very Good,3,G,VS2,5,,10263.06
171,0.41,Ideal,5,F,VS2,5,,1240.83
172,1.22,Ideal,5,G,VS1,4,,7601.36
173,0.37,Premium,4,E,SI1,3,,-161.79
174,0.3,Premium,4,H,SI1,3,,-750.7
175,0.54,Premium,4,E,SI1,3,,1268.42
176,0.37,Ideal,5,E,VS2,5,,904.31
177,1.5,Premium,4,E,VVS2,6,,10706.9
178,0.62,Very Good,3,G,VS2,5,,2691.36
179,1.33,Premium,4,H,SI2,2,,7460.69
180,1.51,Very Good,3,J,SI2,2,,8816.93
181,0.31,Ideal,5,H,VVS1,7,,1307.53
182,0.38,Ideal,5,G,SI2,2,,-373.56
183,0.31,Ideal,5,I,VS1,4,,-54.47
184,0.34,Premium,4,G,VVS2,6,,947.82
185,0.75,Good,2,E,SI2,2,,2264.95
186,0.28,Very Good,3,F,VVS2,6,,284.94
187,1.23,Very Good,3,G,SI2,2,,6461.29
188,0.75,Good,2,E,SI1,3,,2718.95
189,1.11,Ideal,5,H,VVS2,6,,7583.93
190,2.07,Very Good,3,I,SI1,3,,13982.21
191,1,Premium,4,D,SI1,3,,5138.4
192,0.79,Ideal,5,F,SI1,3,,3529.77
193,0.31,Ideal,5,G,VS1,4,,-54.47
194,0.31,Premium,4,I,VVS1,7,,1149.43
195,1,Ideal,5,H,SI1,3,,5296.5
196,0.41,Premium,4,G,VS1,4,,628.73
197,0.51,Premium,4,E,SI1,3,,1016.03
198,1.91,Very Good,3,F,SI1,3,,12636.13
199,1.19,Very Good,3,E,VS2,5,,7486.77
200,0.32,Premium,4,F,VVS1,7,,1233.56
201,0.55,Ideal,5,F,SI2,2,,1056.65
202,0.32,Ideal,5,F,IF,8,,1845.66
203,1.09,Ideal,5,G,SI2,2,,5599.67
204,0.9,Very Good,3,I,VVS1,7,,5955
205,0.74,Ideal,5,E,VS2,5,,4017.12
206,0.9,Very Good,3,G,VS2,5,,5047
207,0.76,Ideal,5,D,VS1,4,,3731.38
208,0.73,Ideal,5,D,SI2,2,,2570.99
209,0.52,Good,2,G,SI1,3,,783.96
210,0.73,Premium,4,E,SI1,3,,2866.89
211,0.76,Premium,4,I,VS2,5,,4027.28
212,0.48,Good,2,F,VS1,4,,901.44
213,1.5,Fair,1,D,SI1,3,,8870.6
214,0.37,Very Good,3,F,SI1,3,,-319.89
215,0.43,Premium,4,E,VS2,5,,1250.99
216,0.58,Ideal,5,E,VVS2,6,,3125.04
217,1.01,Ideal,5,D,SI1,3,,5380.63
218,0.28,Ideal,5,H,VS1,4,,-306.86
219,0.53,Very Good,3,G,VS1,4,,1480.19
220,0.9,Very Good,3,I,VS2,5,,5047
221,0.3,Ideal,5,F,VVS1,7,,1223.4
222,1.51,Premium,4,D,SI2,2,,8975.03
223,1.01,Premium,4,G,SI2,2,,4768.53
224,0.31,Ideal,5,F,VS2,5,,399.53
225,0.66,Ideal,5,D,VS2,5,,3344.08
226,0.56,Premium,4,D,SI1,3,,1436.68
227,0.28,Very Good,3,E,VVS2,6,,284.94
228,0.55,Ideal,5,F,SI2,2,,1056.65
229,0.29,Ideal,5,G,IF,8,,1593.27
230,0.36,Ideal,5,E,VS1,4,,366.18
231,0.31,Ideal,5,D,SI1,3,,-508.47
232,0.58,Very Good,3,G,VVS2,6,,2808.84
233,0.4,Premium,4,D,SI2,2,,-363.4
234,0.29,Ideal,5,I,VS1,4,,-222.73
235,0.62,Very Good,3,E,VS1,4,,2237.36
236,0.73,Ideal,5,E,SI2,2,,2570.99
237,2.01,Very Good,3,J,SI2,2,,13023.43
238,0.7,Very Good,3,G,I1,1,,1548.4
239,0.54,Good,2,D,SI2,2,,498.22
240,0.3,Fair,1,D,VVS2,6,,137
241,0.38,Ideal,5,H,VVS1,7,,1896.44
242,0.7,Premium,4,G,VS1,4,,3068.5
243,0.82,Ideal,5,E,SI2,2,,3328.16
244,0.41,Ideal,5,E,VVS2,6,,1694.83
245,0.64,Ideal,5,G,IF,8,,4537.82
246,1.01,Very Good,3,H,VS1,4,,5518.43
247,0.58,Very Good,3,I,VS2,5,,2354.84
248,0.34,Ideal,5,D,VS1,4,,197.92
249,0.85,Ideal,5,E,VS1,4,,4488.55
250,0.91,Good,2,G,SI2,2,,3611.03
251,0.91,Premium,4,G,SI2,2,,3927.23
252,0.5,Fair,1,E,VS2,5,,1365.6
253,1,Premium,4,F,VS2,5,,6046.4
254,1.5,Very Good,3,G,SI1,3,,9186.8
255,1.26,Ideal,5,H,VS1,4,,7937.88
256,0.35,Premium,4,D,SI2,2,,-784.05
257,1.09,Premium,4,I,VS2,5,,6803.57
258,0.3,Ideal,5,F,VS2,5,,315.4
259,0.27,Ideal,5,E,VS1,4,,-390.99
260,0.32,Ideal,5,E,VVS2,6,,937.66
261,1.09,Premium,4,I,VS1,4,,6349.57
262,0.4,Premium,4,F,SI1,3,,90.6
263,1.04,Ideal,5,E,VVS2,6,,6995.02
264,0.51,Premium,4,E,VS2,5,,1924.03
265,0.73,Ideal,5,H,SI1,3,,3024.99
266,1.01,Good,2,H,SI2,2,,4452.33
267,1.34,Ideal,5,G,VS2,5,,9064.92
268,0.52,Ideal,5,G,VVS2,6,,2620.26
269,1.21,Good,2,H,VS1,4,,7042.93
270,0.35,Ideal,5,F,VS1,4,,282.05
271,0.7,Ideal,5,G,VVS2,6,,4134.6
272,0.7,Premium,4,G,SI1,3,,2614.5
273,0.42,Very Good,3,G,SI1,3,,100.76
274,0.38,Premium,4,D,SI2,2,,-531.66
275,0.3,Ideal,5,G,VS1,4,,-138.6
276,0.91,Premium,4,F,SI2,2,,3927.23
277,1.11,Premium,4,G,SI1,3,,6063.83
278,0.3,Good,2,G,IF,8,,1203.1
